passe,verification,cote_source,cote_restaure,verdict,note
1,Taille dump complet -Fc --no-owner (streame vers wc -c · jamais ecrit),base labuse 35 Go · dump = 6 439 680 603 o (6.44 Go),disque : 936-962 Mo libres (df mesure en cours de lot),KO,AK-1 : le premier vrai backup complet est PHYSIQUEMENT IMPOSSIBLE sur cette machine (6.44 Go a ecrire pour ~0.95 Go libres) · idem une 2e base de 35 Go pour restaurer
2,Duree dump complet (RTO cote dump),628.57 s (10 min 29) · debit ~10.2 Mo/s de dump produit,n/a (mesure en pipe · df stable 949-950 Mo pendant tout le dump),OK,pg_dump 18.4 = serveur 18.4 (parite verifiee) · charge CPU ~103% un coeur
3,Row count parcels (phase 1 · restauree seule · 463 Mo · 18.9 s),431663,431663,OK,restauration table entiere via pg_dump -Fc --table | pg_restore · base test 463 Mo < plafond 500 Mo
4,Row count adresses (phase 2 · 2.7 s),339915,339915,OK,taille restauree 107 Mo vs 402 Mo cote source (bloat source) · 0 erreur pg_restore
5,Row count mvt_parcels (phase 3 · lot 317 Mo · 12.2 s),431663,431663,OK,
6,Row count parcel_zone_plu (phase 3),427419,427419,OK,zone_plu n'existe pas sous ce nom · la table servie est parcel_zone_plu
7,Row count dvf_mutations_histo (phase 3),110477,110477,OK,la table des mutations DVF tient largement (61 Mo)
8,Row count parcel_residuel_runs (phase 4 · lot 120 Mo · 2.3 s),863326,863326,OK,parcel_residuel = VUE sur parcel_residuel_runs filtree par residuel_runs.is_served (run_seq=2)
9,Row counts p_score_v2_runs + pipeline_entries,7 + 45,7 + 45,OK,pipeline_columns N'EXISTE PAS dans la base (note au mandat) · p_score_v2_runs compare aussi en md5 ligne a ligne : 7/7 identiques
10,Row counts projets + projet_parcelles,30 + 1486,30 + 1486,OK,la table s'appelle projet_parcelles (pas projets_parcelles)
11,Row counts comptes/utilisateurs/sessions_auth/courrier_demandes/watch_zones/event_log/usage_compteurs,20/16/11/14/3/1290/21,20/16/11/14/3/1290/21,OK,12/12 tables du lot 4 a counts identiques
12,parcel_solar sous-echantillon (588 Mo > plafond 500 Mo → schema pg_dump + COPY 14 656 lignes),count 14656 · md5 global du sous-ensemble 3629864060368d7a8fa045a4e7425b89,count 14656 · md5 global identique,OK,methode COPY pipe (dump table entiere interdit par budget disque) · sous-ensemble = 5 parcelles seed + idu < 97403
13,Spot-check seed 6011 : 5 parcelles ligne complete parcels (md5 ligne + md5 ST_AsBinary geom)),5 md5 (ex. 97402000AK0351 = 5340e644…/375b4b5d…),5/5 identiques ligne+geom,OK,idus tires ORDER BY md5('6011'||idu) : 97415000DO0269 97406000AR0030 97412000BL0280 97410000BW1109 97402000AK0351
14,Spot-check 5 parcelles residuel (parcel_residuel_runs au run servi run_seq=2),5 md5 ligne,5/5 identiques,OK,1re tentative via la vue parcel_residuel INVALIDE (vue non restauree + pas de colonne idu → diff de deux sorties vides) · refaite sur la table par parcel_id
15,Spot-check 5 parcelles parcel_solar,5 md5 ligne,5/5 identiques,OK,
16,Spot-check 5 parcelles parcel_p_score_v2 au run servi q_v10_m129,5 md5 ligne,5/5 identiques,OK,table 4.8 Go hors budget → schema + COPY des 5 lignes (fidelite via pipe · pas via pg_dump entier)
17,Sequences des tables restaurees (pg_sequence_last_value),parcels_id_seq=434695 + 7 sequences lot 4,identiques 8/8 (les seules divergences du diff = sequences de tables non restaurees),OK,pg_dump restaure bien le point courant des sequences
18,Index + contraintes (pg_indexes + pg_constraint) des deux cotes,parcels 5 index · adresses index complets · PK/NOT NULL/UNIQUE de 12 tables,identiques SAUF FK inter-tables (parcels_ingestion_run_id_fkey · 3 FK →parcels) et vue parcel_residuel,OK,AK-5 : en restauration PAR TABLE les FK vers tables hors phase et les vues dependantes ECHOUENT (erreurs pg_restore propres · ignorees) → seule une restauration complete reconstruit l'integrite · extension : source postgis 3.6.3 → restaure 3.6.4 (binaire courant · fonctionne)
19,Backup reel conserve : donnees d'usage non reconstructibles (28 tables POST utilisateur),dump -Fc 28 tables = 310 606 o (0.31 Mo · verifie par wc -c avant ecriture),~/labuse-backups/labuse-c6-donnees-usage-2026-08-26.dump · pg_restore --list = 28 TABLE DATA · restauration testee en base temp (comptes 20/20 · utilisateurs 16/16 · projets 30/30 · veilles 8/8 · ia_log 5686/5686 · stripe_events 185/185),OK,SEUL backup frais possible sur cette machine · tables : comptes utilisateurs sessions_auth acces_gels projets projet_parcelles pipeline_entries courrier_demandes courrier_envois watch_zones watched_parcels watch_snapshots watch_zone_zonage_snap veilles veille_reprise notif_prefs notif_canaux saved_filters saved_searches signalements bilan_params event_log event_seen evenements_compte agent_events usage_compteurs ia_log stripe_events
20,Mecanisme officiel labuse backup-db (cli.py:1815-1841 · analyse statique),pg_dump -Fc complet ecrit via -f dans ./backups relatif au cwd,n/a,KO,AK-3 : AUCUNE verification d'espace disque ni rotation dans la commande (backup_daily.sh externe) → ici il aurait tente d'ecrire 6.44 Go sur 0.95 Go libres = ENOSPC + fichier partiel laisse + disque sature · aucun --exclude des tables reconstructibles (dryrun_cascade_results 8.7 Go seule)
