id;horaire_utc;horaire_reunion;fait_vraiment;touche_l_eau;dernier_statut;trace_base_coherente;preuve
backup-postgres;45 1 * * *;05:45;dump PostgreSQL + rotation;non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);non (log fichier seul);"jobs.py:265-266 ; deploy/cron.d-labuse"
sources-fraicheur;0 2 * * *;06:00;recalcule fraicheur_statut des sources (a_jour/en_retard/en_panne) dans data_sources;oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (data_sources.fraicheur_* — jobs_impl.py:67-131);jobs.py:267-268
radar-cycle;30 2 * * *;06:30;traite les dépôts Radar de la veille : parse, rattache, événements, badges;oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (pige_biens/pige_faits);jobs.py:269-270
radar-digests;0 14 * * *;18:00;digests + alertes de veille, un mail par client (Brevo);non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (dédup event_log);jobs.py:271-272
fiche-commune-cache;0 23 * * *;03:00;précalcule le contexte des fiches communes;oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (commune_contexte_cache);jobs.py:273-274
copilote-purge;30 23 * * *;03:30 — NON POSÉ (absent de cron.d-labuse);purge conversations Copilote au-delà de la rétention;non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (suppression en base);"jobs.py:276-277 ; absent de deploy/cron.d-labuse"
healthcheck;*/15 * * * *;toutes les 15 min;sonde /health locale + espace disque;non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);non (fichier);jobs.py:278-279
sante-endpoints;7,37 * * * *;toutes les 30 min — NON POSÉ;sonde endpoints métier avec DB (accueil/sources/fiche/radar/projets/ask);non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (notification à la panne);"jobs.py:282-284 ; absent de deploy/cron.d-labuse"
pg-maintenance;0 0 * * 0;04:00 dim;VACUUM ANALYZE des tables chaudes;non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);non;jobs.py:286-287
rapport-admin;15 2 * * 1;06:15 lun;rapport hebdomadaire d'exploitation (mail);non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);non (mail);jobs.py:288-289
ingest-sirene;0 0 7 * *;04:00 le 7;SIRENE mensuel COMPLET : DELETE puis réinsertion DuckDB (974 actifs);oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (data_sources.last_sync_at + source_millesime — sirene_etablissements.py:171-173);"jobs.py:290-291 ; sirene_etablissements.py:143"
ingest-sitadel;30 0 10 * *;04:30 le 10;SITADEL delta 3 mois + upsert, puis veille foncière + RUN CANDIDAT (rapport mail, bascule manuelle);oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (ingestion_runs — permits_sdes.py:302-315);"jobs.py:292-293 ; jobs_impl.py:360-370"
ingest-dpe;0 0 12 * *;04:00 le 12;DPE ADEME mensuel — SAUTE toute commune déjà peuplée (sans --force);oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);NON — last_sync_at écrit même à 0 commune traitée (dpe.py:243, aucun if) : healthz peut dire « ok » à vide;"jobs.py:294 ; ingestion/dpe.py:217-245,306-308"
sync-gpu;0 0 15 * *;04:00 le 15;SUP GPU par commune (purge puis réinsertion), puis evaluer_toutes() (veille);oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);partielle (événements créés, pas d'ingestion_runs);"jobs.py:295-296 ; sup_gpu.py:55-56 ; jobs_impl.py:385-389"
ingest-bdnb;0 1 1 1,4,7,10 *;05:00 le 1er jan/avr/juil/oct — NON POSÉ;BDNB trimestriel streamé filtré 974 (amont 974 absent : constat SCORING-3);oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (data_sources);"jobs.py:300-303 ; absent de deploy/cron.d-labuse"
sentinelle-sources;0 3 * * *;07:00;sonde les sources amont (api/page/entete/temoin), alerte cloche admin, N'INGÈRE RIEN;oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (source_veille.dernier_* — sentinelle.py:308-313);jobs.py:307-308
radar-releves;0 13 * * *;17:00;relevé quotidien des compteurs Radar (courbe d'accumulation);oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (radar_releves);jobs.py:311-312
coherence-run;15 3 * * *;07:15;"garde de cohérence : chaque surface lit le run courant ; notifie à la divergence";oui;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);oui (notification event_log);"jobs.py:315-316 ; coherence_flux.py"
restore-test;0 1 1 * *;05:00 le 1er;restaure le dernier dump dans une base jetable et vérifie;non;DOUTE — état JSON du wrapper absent en local (VPS seulement, jobs.py:62);non (mail/log);jobs.py:317-318
cron.d/abuse (abuse-scan);(fichier en h. Réunion : 0 10 * * *);06:00;labuse abuse-scan (détection d'abus d'accès);non;DOUTE — pose VPS actuelle indécidable en local;DOUTE (table de trace à confirmer);deploy/cron.d/abuse
cron.d/backup (backup_postgres.sh);(fichier en h. Réunion : 30 9 * * *);05:30;dump direct par script shell;non;DOUTE — pose VPS actuelle indécidable en local;non (fichier);deploy/cron.d/backup
cron.d/backup (db_maintenance.sh);(fichier en h. Réunion : 0 8 * * 0);04:00 dim;maintenance DB par script shell;non;DOUTE — pose VPS actuelle indécidable en local;non;deploy/cron.d/backup
cron.d/ban (ingest-ban);(fichier en h. Réunion : 30 7 5 * *);03:30 le 5;labuse ingest-ban --download (mensuel le 5);oui;DOUTE — pose VPS actuelle indécidable en local;oui (data_sources.last_sync_at);deploy/cron.d/ban
cron.d/bodacc (ingest-bodacc);(fichier en h. Réunion : 30 6 * * *);02:30;labuse ingest-bodacc + fraicheur-derives (QUOTIDIEN);oui;DOUTE — pose VPS actuelle indécidable en local;oui (data_sources);deploy/cron.d/bodacc — c'est CE cron que /healthz/crons attend (2 j, ops.py:23-41)
cron.d/dpe (ingest-dpe hebdo);(fichier en h. Réunion : 20 9 * * 2);05:20 mar;labuse ingest-dpe + fraicheur-derives (HEBDO mardi);oui;DOUTE — pose VPS actuelle indécidable en local;NON (même défaut last_sync_at);deploy/cron.d/dpe — explique la note « hebdo » de healthz (ops.py:39-40) vs wrapper mensuel le 12
cron.d/dvf (refresh-dvf);(fichier en h. Réunion : 0 9 * * 3);05:00 mer;labuse refresh-dvf + fraicheur-derives (HEBDO mercredi);oui;DOUTE — pose VPS actuelle indécidable en local;oui (data_sources);deploy/cron.d/dvf
cron.d/fraicheur (check-fraicheur);(fichier en h. Réunion : 30 10 * * *);06:30;labuse check-fraicheur;oui;DOUTE — pose VPS actuelle indécidable en local;oui (data_sources.fraicheur_*);deploy/cron.d/fraicheur — redondant avec le job wrapper sources-fraicheur
cron.d/notifications;(fichier en h. Réunion : 0 7 * * *);03:00;evaluer-suivis + evaluer-veilles + notifier-fraicheur + purge-notifications + digest quotidien;oui;DOUTE — pose VPS actuelle indécidable en local;oui (event_log);deploy/cron.d/notifications
cron.d/radar (radar-sources);(fichier en h. Réunion : 0 6 * * 1);02:00 lun;labuse radar-sources (hebdo lundi) → /var/log/labuse/radar.log;oui;DOUTE — pose VPS actuelle indécidable en local;oui (source_radar);deploy/cron.d/radar — l'objet de la contradiction healthz vs log radar (Q3.5)
cron.d/sessions (purge-sessions);(fichier en h. Réunion : 0 8 * * *);04:00;labuse purge-sessions;non;DOUTE — pose VPS actuelle indécidable en local;oui (sessions_auth);deploy/cron.d/sessions
cron.d/sitadel (refresh);(fichier en h. Réunion : 15 6 * * *);02:15;python -m labuse.ingestion.permits_sdes --refresh + fraicheur-derives (QUOTIDIEN);oui;DOUTE — pose VPS actuelle indécidable en local;oui (ingestion_runs);deploy/cron.d/sitadel — redondant avec le job wrapper mensuel le 10
cron.d/sitadel (fraicheur hebdo);(fichier en h. Réunion : 45 7 * * 1);03:45 lun;labuse fraicheur-derives --hebdo;oui;DOUTE — pose VPS actuelle indécidable en local;oui (data_sources);deploy/cron.d/sitadel
