id,voie,question,reponse_resumee,spot_sql,chiffre_ok,invention,verdict,note
A01,a,combien de parcelles en zone U a Bras-Panon ?,"À Bras-Panon, on dénombre **4 530 parcelles** classées en zone U (Source : PLU – GPU).",SQL=4530,oui,non,OK,
A02,a,combien de parcelles a Salazie ?,"La commune de Salazie compte **7 032 parcelles** cadastrales (cadastre Etalab, juin 2026).",SQL=7032,oui,non,OK,
A03,a,combien de parcelles en zone AU aux Avirons ?,On recense **176 parcelles** en zone AU sur la commune des Avirons. (Source : PLU – GPU),SQL=176,oui,non,OK,
A04,a,combien de parcelles en zone N a Cilaos ?,"À Cilaos, on dénombre **927 parcelles** classées en zone N (naturelle) selon le PLU (GPU).",SQL=927,oui,non,OK,
A05,a,combien de parcelles de personne morale a Sainte-Suzanne ?,"À Sainte-Suzanne, on dénombre **2 175 parcelles** appartenant à des personnes morales (DGFiP, SIREN public).",SQL=2175,oui,non,OK,
A06,a,combien de parcelles a Entre-Deux en zone A ?,Entre-Deux compte **1 144 parcelles** en zone A (PLU – GPU).,SQL=1144,oui,non,OK,
A07,a,quelles parcelles en procedure judiciaire a Petite-Ile ?,"À Petite-Île, **11 parcelles** sont actuellement signalées en procédure judiciaire (BODACC).  Pour obtenir le détail des références cadastrales, une extraction spécifique est nécessaire. (Source : BOD",tool=11,oui,non,OK,
A08,a,combien de parcelles de plus de 5000 m2 a La Possession ?,"À La Possession, on recense **1 060 parcelles** de plus de 5 000 m² (cadastre, Etalab 2026-06).",SQL=1060,oui,non,OK,
A09,a,combien de parcelles en friche a Saint-Benoit ?,"À Saint-Benoît, 9 parcelles présentent un signal de friche dans notre base. (Source : signaux de vie, analyse LABUSE)",tool=9,oui,non,OK,
A10,a,combien de parcelles en copropriete a Sainte-Rose ?,"À Sainte-Rose, 3 parcelles sont recensées en copropriété (source : RNIC – copropriétés).",tool=3,oui,non,OK,
A11,a,combien de parcelles sans adresse a Les Trois-Bassins ?,"À Les Trois-Bassins, **2 381 parcelles** ne disposent d'aucune adresse référencée. (Source : Base Adresse Nationale – BAN)",tool=2381,oui,non,OK,
A12,a,combien de parcelles a Saint-Philippe en zone U ?,"À Saint-Philippe, aucune parcelle n'est recensée en zone U selon les données disponibles. (Source : PLU – GPU)",SQL=0,oui,non,OK,
A13,a,combien de parcelles detient CBO TERRITORIA ?,"CBO TERRITORIA détient **1 833 parcelles** selon les données fiscales disponibles. (DGFiP — parcelles de personnes morales, SIREN public)",SQL=1833,oui,non,OK,
A14,a,combien de parcelles a la SAFER de la Reunion ?,La SAFER de La Réunion détient **844 parcelles** dans les fichiers fonciers. (Source : DGFiP — parcelles de personnes morales),SQL=844,oui,non,OK,
A15,a,combien de parcelles a l'Office National des Forets ?,"L'Office National des Forêts détient **812 parcelles** au registre foncier. (DGFiP — parcelles de personnes morales, SIREN public)",SQL=812,oui,non,OK,
A16,a,combien de parcelles a l'etablissement public foncier de la Reunion ?,"Le nombre exact de parcelles détenues par l'EPF de La Réunion est une donnée opérationnelle interne que je ne possède pas — ce n'est pas une information de connaissance générale figée, elle évolue en ",,na,non,OK,[JAUNE] EPF 'etablissement public foncier' non resolu (denom='ETS PUBLIC FONCIER')->dit ne pas savoir (pas d'invention) mais rate le patrimoine.
A17,a,combien de parcelles detient la SEMADER a la Reunion ?,"La SEMADER détient **1 663 parcelles** à La Réunion. (DGFiP — parcelles de personnes morales, SIREN public)",SQL=1663,oui,non,OK,
A18,a,combien de parcelles pour la SODIAC ?,"La SODIAC (Société Dionysienne d'Aménagement et de Construction, SIREN 378918510) détient **273 parcelles** dans les données foncières. (DGFiP — parcelles de personnes morales)",SQL=273,oui,non,OK,
A19,a,combien de parcelles a la commune du Port ?,"La commune du Port compte **10 112 parcelles** cadastrales (cadastre Etalab, juin 2026).",SQL=10112,oui,non,OK,"[JAUNE] 'commune du Port' lu comme TERRITOIRE(10112=SQL) pas entite. Chiffre juste, interpretation entite/territoire discutable."
A20,a,combien de parcelles a la region Reunion ?,"La Région Réunion détient **2 366 parcelles** au registre foncier. (DGFiP — parcelles de personnes morales, SIREN public)",SQL=2366,oui,non,OK,
A21,a,combien de parcelles a la SIDR ?,"La SIDR (Société Immobilière du Département de la Réunion) détient **4 183 parcelles** au total. (DGFiP — parcelles de personnes morales, SIREN public)",SQL=4183,oui,non,OK,
A22,a,combien de parcelles a la SHLMR ?,"La SHLMR (Société Anonyme d'HLM de La Réunion) détient **2 618 parcelles** au total. (DGFiP — parcelles de personnes morales, SIREN public)",SQL=2618,oui,non,OK,
