id;nom;fichier;fonctions;entrees;versionne_par_run;run_lu;cache;preuve
scoring_p_v2;Scoring Potentiel v2 (tiers brûlante→froide);src/labuse/scoring/p_v2/pipeline.py;run_score_v2, verify_artifact, rebuild_features;"p_model_* → cosia, sitadel, dvf, filosofi_carreaux, bd_topo ; parcel_v_score → bodacc, sirene_etablissements ; dryrun_parcel_evaluations ; parcel_residuel";oui;parametre;aucun (artifact gelé sha256, recalage par run);"src/labuse/scoring/p_v2/pipeline.py:78-170 ; tables parcel_p_score_v2 + p_score_v2_runs (9 runs, SELECT 05/09)"
cascade;Cascade d'exclusion (17 couches, verdict par étage);src/labuse/cascade/engine.py;evaluate_parcels, run_cascade;spatial_layers (tous kinds) + parcels → gpu_plu_api_carto, deal_ppr, georisques_*, abf_merimee, znieff_inpn, cinquante_pas_deal, bd_topo, cosia, qpv_2024…;oui;parametre;aucun (contexte à la requête);"src/labuse/cascade/__init__.py ; dryrun_cascade_results/dryrun_parcel_evaluations.run_label ; src/labuse/cli.py:534-602"
residuel;Résiduel de faisabilité (SDP résiduelle, emprise);src/labuse/faisabilite/residuel.py;compute_residuel;parcel_bati_revele, spatial_layers(batiment), parcels → cosia, bd_topo, cadastre_api_carto;oui;pointeur_propre (residuel_runs.is_served, run_seq — PAS la constante unique);"aucun ; garde anti-écriture au run servi (ServedRunWriteError)";"src/labuse/faisabilite/residuel.py:28-80 ; src/labuse/faisabilite/residuel_runs.py:87-117 ; SELECT residuel_runs 05/09 (run_seq 2 « m135-run2-ile » is_served)"
sector_price;Prix de secteur (DVF fiabilisée €/m²);src/labuse/faisabilite/bilan.py;sector_price;dvf_mutations_parcelle, parcels → dvf, cadastre_api_carto;non;live;aucun;src/labuse/faisabilite/bilan.py (MIN_N_SECTEUR=8, rayons 500/1000/1500 m, trim 5 %, indice fiable/fragile/insuffisant)
zone;Étude de zone (isochrone + agrégats);src/labuse/zone.py;isochrone, population_zone, comptages_zone, etude_de_zone;sirene_etablissements, filosofi_carreaux_200m, dvf_mutations_parcelle, spatial_layers, trafic_rn, pige_biens → sirene_etablissements, filosofi_carreaux, dvf, trafic_rn, bpe_insee, radar_pige;non;live;zone_isochrone_cache (table spatiale, clé mode|minutes|lon|lat, sans TTL);src/labuse/zone.py:1-100 (dégradé honnête : jamais un cercle)
marche_pige;Marché Radar (annonces : prix affiché, délais);src/labuse/pige/marche.py;stats;pige_biens, pige_faits → radar_pige;non;live;aucun (n<5 → NULL + insuffisant=true);src/labuse/pige/marche.py:15,47-50,71-91
rattachement_pige;Rattachement bien→parcelle (GPS→BAN→DPE→morpho);src/labuse/pige/rattachement.py;rattacher;parcels, dpe_records, p_model_bati, parcel_equipements → cadastre_api_carto, ban, dpe_ademe, bd_ortho;non;live;aucun (MAX_CANDIDATES_ESTIME=3);src/labuse/pige/rattachement.py:19,70+
solaire;Potentiel solaire toiture (PVGIS + azimut bâti);src/labuse/ingestion/solaire.py;build_grid, build_solar;solar_grid, spatial_layers(batiment), parcel_vegetation, filosofi_carreaux_200m → pvgis, bd_topo, bd_ortho_irc, filosofi_carreaux;non;en_dur (millésime gelé porté en base, bandeau lu du champ);solar_api_cache (table);"src/labuse/ingestion/solaire.py:18-45 ; table parcel_solar (14 col)"
score_e;Marge promoteur (score E);src/labuse/ingestion/score_e.py;build (CLI score-e);parcel_p_score_v2, parcel_residuel, dvf_prix_sortie_neuf, dvf_secteur_medianes → dvf, cadastre_api_carto;oui;parametre;aucun;"src/labuse/ingestion/score_e.py:59 ; src/labuse/cli.py:3494 ; score_e.run_label=q_v11_m137 (SELECT 05/09)"
renouvellement;Signaux de renouvellement urbain;src/labuse/renouvellement.py;agrégation des verdicts cascade;dryrun_cascade_results, parcels → (dérivé de cascade);oui;constante_unique (reconstruit par build-mvt à la bascule);aucun;"src/labuse/renouvellement.py ; parcel_renouvellement.run_label=q_v11_m137 (SELECT 05/09) ; dashboard.py:1428-1443"
