id;url_producteur_connue;format_du_millesime;raison_non_surveillee;page_rendue_en_js;piste
gpu_plu_api_carto;https://apicarto.ign.fr/api/gpu/zone-urba;aucun millésime global (gid/insee seulement);"API Carto GPU interrogée par géométrie à l'usage. Y3 : le point d'entrée `/municipality` ne porte aucun millésime (gid/insee/is_rnu seulement), `/document` exige une géométrie, aucun jeu data.gouv « documents GPU » à `last_update` ; un témoin par parcelle détecterait un changement de PLU commune par commune, mais LABUSE interroge le GPU EN DIRECT (aucun snapshot ingéré à réinjecter).";non;témoin par géométrie commune par commune (sentinelle.py:501 : détecterait un changement de PLU)
peigeo_hub;https://peigeo.re;aucun (WordPress, plus de CSW);Y2 : peigeo.re répond désormais (200) mais c'est un site WordPress — plus de GeoNetwork/CSW ni d'API de catalogue à sonder (les chemins /geonetwork renvoient 404). Pas un jeu unique.;DOUTE;"abandonner le hub ; suivre les jeux AGORAH individuellement s'ils réapparaissent"
geoplateforme_hub;https://data.geopf.fr/wfs/ows;GetCapabilities sans updateSequence;Y2 : GetCapabilities WFS `data.geopf.fr` répond (200) mais SANS attribut `updateSequence` ni date, et le catalogue n'est pas exposé en JSON. Hub — les produits IGN servis sont surveillés individuellement (data.gouv `last_update`).;non;suivre les PRODUITS IGN par leurs jeux data.gouv (déjà fait pour BD TOPO/ORTHO…)
osm_overpass;https://overpass-api.de/api/interpreter;flux continu (planet);"Y3 : témoin de comptage testé (Overpass `out count`) → stable localement mais OSM est un flux continu (planet) et LABUSE l'interroge EN DIRECT (aucun snapshot ingéré) ; un compte sur zone stable ne représente pas l'île et n'est pas actionnable.";non;pas de veille utile : interrogé en direct (sentinelle.py:507)
inpn_espaces_proteges;https://data.geopf.fr/wfs/ows;pas de jeu national à millésime trouvé;"Couches patrinat servies en WFS Géoplateforme ; pas de jeu data.gouv national « espaces protégés » à millésime trouvé, ni de requête témoin à agrégat stable.";DOUTE;"re-chercher un jeu data.gouv « espaces protégés » ; sinon témoin WFS patrinat"
spanc_epci;;champ manuel;DOUTE;DOUTE;rappel Y4 (365 j) — pas d'agent
fichiers_fonciers_cerema;https://datafoncier.cerema.fr;millésime annuel sous convention;NON INTÉGRÉ — convention DGFiP/Cerema, aucune donnée ingérée (rappel 365 j posé);DOUTE;suivre datafoncier.cerema.fr (page publique des millésimes) une fois la convention signée
inpi_rne;https://registre-national-entreprises.inpi.fr/api/companies/{siren};API authentifiée par SIREN;API AUTHENTIFIÉE interrogée par SIREN (pas de requête témoin publique possible) — aucun millésime global à comparer.;non;témoin authentifié sur un SIREN stable si un compte de service existe
sru_dhup;https://static.data.gouv.fr/resources/communes-et-inventaire-sru/20251219-143258/donnees-sru-data-gouv-2025-v2.csv;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
npnru;http://ws.carmen.developpement-durable.gouv.fr/WFS/29/DEAL_REUNION_2020?typename=NPNRU;DOUTE;Pas d'URL amont à millésime stable identifiée (endpoint de requête, import manuel ou hub).;DOUTE;identifier une URL amont datée (aucune connue au code)
