method,path,fichier,statut,action_M49,preuve
GET,/operations,operations.py,MORTE,RETIRÉE,"0 caller ; O11 utilise /modules/verif-procedure ; routeur supprimé"
GET,/operations/{siren}/{secteur},operations.py,MORTE,RETIRÉE,"idem — 0 caller ; routeur supprimé"
GET,/rapport-potentiel/{idu}.pdf,potentiel.py,MORTE,RETIRÉE,"0 hit repo-wide ; routeur mono-route supprimé"
GET,/tension-fonciere,tension.py,MORTE,RETIRÉE,"0 caller ; mount déjà « MASQUÉ » ; supprimé"
GET,/signals,app.py,MORTE,RETIRÉE,"vestige offre C (filters.ts) ; 0 caller ; tests retirés"
DELETE,/partners/share/token/{token},partners.py,MORTE,RETIRÉE,"share_revoke — aucun helper, 0 hit ; retirée"
GET,/compare,app.py,MORTE,LISTÉE,"0 caller (front compare local) — candidate, non retirée (prudence)"
GET,/shortlist,app.py,MORTE,LISTÉE,"qa/m36 « sans consommateur front » — candidate"
GET,/assemblages,app.py,MORTE,LISTÉE,"superseded par /moteurs/assemblage — candidate"
GET,/assemblage/study,app.py,MORTE,LISTÉE,"idem — candidate"
GET,/map/permits.geojson,app.py,MORTE,LISTÉE,"0 hit front ; couche carte — prudence (vérifier layer avant retrait)"
GET,/courrier/statut,courrier.py,MORTE,LISTÉE,"seul /courrier/demande vivant — candidate"
GET,/courrier/envois,courrier.py,MORTE,LISTÉE,"candidate"
POST,/courrier/envois,courrier.py,MORTE,LISTÉE,"candidate"
GET,/dossier/statut,dossier.py,MORTE,LISTÉE,"fiche lie /dossier/{idu}.pdf direct — candidate"
POST,/events/reprise/{idu},events.py,MORTE,LISTÉE,"reprise interne (detect_events) — candidate"
GET,/parcels/{idu}/enrichment,app.py,MORTE,LISTÉE,"test-only — candidate"
GET,/parcels/{idu}/explain,app.py,MORTE,LISTÉE,"AlgoExplainer ≠ cette route — candidate"
GET,/parcels/{idu}/spf-letter,app.py,MORTE,LISTÉE,"workflow CERFA manuel — candidate"
GET,/coverage,app.py,DOUTEUSE,LISTÉE,"admin/ops — test-only ; NON retirée (prudence pre_pond)"
GET,/demo,app.py,DOUTEUSE,LISTÉE,"admin/démo — test-only ; NON retirée"
GET,/demo-status,app.py,DOUTEUSE,LISTÉE,"admin — test-only ; NON retirée"
POST,/sources/{source_id}/test,app.py,DOUTEUSE,LISTÉE,"admin/ops — NON retirée"
GET,/map/bati,app.py,DOUTEUSE,LISTÉE,"gated (protection) — NON retirée"
GET,/assistant/status,app.py,DOUTEUSE,LISTÉE,"admin/diagnostic — NON retirée"
GET,/communes/status,app.py,DOUTEUSE,LISTÉE,"admin — NON retirée"
GET,/bilan/params,app.py,DOUTEUSE,LISTÉE,"admin calibration — NON retirée"
POST,/bilan/params,app.py,DOUTEUSE,LISTÉE,"admin calibration — NON retirée"
POST,/parcels/{idu}/evaluate,app.py,DOUTEUSE,LISTÉE,"admin re-score — NON retirée"
POST,/audit/reference,app.py,DOUTEUSE,LISTÉE,"admin/audit — NON retirée"
POST,/audit/adresse,app.py,DOUTEUSE,LISTÉE,"admin/audit — NON retirée"
POST,/audit/polygone,app.py,DOUTEUSE,LISTÉE,"admin/audit — NON retirée"
GET/POST/DELETE,/watch-zones[/{id}],app.py,DOUTEUSE,LISTÉE,"alertes zones — front non câblé mais table vivante — NON retirée"
GET/POST,/alertes[/refresh|/ack],app.py,DOUTEUSE,LISTÉE,"alertes — NON retirée"
POST,/feedback,app.py,DOUTEUSE,LISTÉE,"aucun caller — feature future possible — NON retirée"
GET/POST/DELETE,/filters[/{id}],app.py,DOUTEUSE,LISTÉE,"filtres sauvegardés — front persiste en URL — NON retirée"
GET,/parcels,app.py,DOUTEUSE,LISTÉE,"raw list — front utilise /filtre ; qa/e2e l'exercent — NON retirée"
GET,/stats,app.py,DOUTEUSE,LISTÉE,"superseded /filtre ; tests — NON retirée"
GET,/signalements,app.py,DOUTEUSE,LISTÉE,"revue QA/admin — NON retirée"
GET,/signalements/export.csv,app.py,DOUTEUSE,LISTÉE,"export QA/admin — NON retirée"
POST,/partners/match/run,partners.py,DOUTEUSE,LISTÉE,"helper api.ts orphelin (M19) — NON retirée"
GET,/partners/match/compatibilite/{idu},partners.py,DOUTEUSE,LISTÉE,"helper orphelin — NON retirée"
GET,/partners/share/{idu}/list,partners.py,DOUTEUSE,LISTÉE,"helper orphelin — NON retirée"
POST,/protection/defi,protection.py,DOUTEUSE,LISTÉE,"anti-abus — poster côté réponse, front ne poste pas — NON retirée"
GET,/events/digest,events.py,DOUTEUSE,LISTÉE,"JSON — seul .html lié — NON retirée"
POST,/moi/logo,onboarding.py,DOUTEUSE,LISTÉE,"upload marque — fetch direct possible — NON retirée (à confirmer)"
DELETE,/moi/logo,onboarding.py,DOUTEUSE,LISTÉE,"idem — NON retirée"
POST,/moi/marque,onboarding.py,DOUTEUSE,LISTÉE,"idem — NON retirée"
POST,/ia/synthese/{idu},ia.py,DOUTEUSE,LISTÉE,"helper iaSynthese orphelin — NON retirée"
POST,/ia/pourquoi/{idu},ia.py,DOUTEUSE,LISTÉE,"helper iaPourquoi orphelin — NON retirée"
GET,/api/copilote/runs/{run_id},copilote.py,DOUTEUSE,LISTÉE,"seul script démo — NON retirée"
SUMMARY,~120 routes,app.py+routers,VIVANTE,—,"caller front/qa prouvé (fiche/filtre/carte/projets/events/crm/moteurs/modules/copilote…)"
SUMMARY,~25 routes,onboarding/partners/ops,EXTERNE-PAR-CONCEPTION,—,"webhooks Stripe, liens email, /api/v1/* partenaire, /p/{token}, health/login, OG — caller-less VOULU (NE PAS retirer)"
